model,n_sessions,attack_sessions,containment_at_n,intervention_at_n,benign_sessions,benign_disruption_rate,stepup_rate,deny_rate
IsolationForest,259,14,0.07142857142346938,0.07142857142346938,245,0.0,0.0,0.054054054053845356
Static_Rules,259,14,0.35714285711734695,0.6428571428112245,245,0.8408163265271804,0.9999999999961391,0.833976833973614
LogisticRegression,259,14,0.928571428505102,0.928571428505102,245,0.9999999999959184,0.2818532818521936,0.9999999999961391
RandomForest,259,14,0.14285714284693876,0.35714285711734695,245,0.8040816326497793,0.8262548262516362,0.8108108108076802
MLP_Softmax,259,14,0.9999999999285715,0.9999999999285715,245,0.9999999999959184,0.0,0.9999999999961391
DEQZT,259,14,0.07142857142346938,0.07142857142346938,245,0.0,0.0,0.054054054053845356
