model,macro_f1,macro_precision,macro_recall,balanced_accuracy,label_f1_attack,decision_f1_attack,decision_precision_attack,decision_recall_attack,decision_specificity,decision_mcc,decision_fpr,decision_tpr,deny_only_f1_attack,rzdu,train_time_s
IsolationForest,0.3073170731707317,0.2733333333333333,0.4,0.4,0.9999999994888888,0.9999999994888888,0.9999999999888889,0.9999999999888889,0.9999999999999787,1.0,0.0,0.9999999999888889,0.9999999994888888,0.9989659624069889,1.1007990837097168
Static_Rules,0.1670884616066328,0.20000474804084073,0.2639654190548938,0.2639654190548938,0.0060655373785920685,0.0060655373785920685,0.0030530940501896603,0.4555555555504938,0.7137664892138474,0.016395186691905487,0.2862335107861312,0.4555555555504938,0.003249390710418442,0.7824802697271438,0.0
LogisticRegression,0.14841583181313706,0.20047617472496135,0.2760095179231219,0.27600951792312195,0.005064060354525257,0.005043881762372996,0.0025334414268340833,0.5555555555493827,0.5791161567570912,0.011941662642616818,0.4208838432428876,0.5555555555493827,0.005086987476895611,0.5817265712149087,23.358776330947876
RandomForest,0.18791578947024162,0.20036310424653014,0.22264014981448116,0.22264014981448116,0.00402077396929234,0.004689331740529851,0.0023805475259305593,0.15555555555382716,0.8745643854360236,0.003980620913234032,0.12543561456395516,0.15555555555382716,0.004147943251155005,0.891720596775476,10.89395523071289
MLP_Softmax,0.0013004911255025259,0.0006515520232667948,0.33333333333333337,0.33333333333333337,0.0038336208510710147,0.0038336208510710147,0.0019204916458612996,0.9999999999888889,0.0,0.0,0.9999999999999787,0.9999999999888889,0.0038336208510710147,0.021894440429009565,19.145485877990723
DEQZT,0.3073170731707317,0.2733333333333333,0.4,0.4,0.9999999994888888,0.9999999994888888,0.9999999999888889,0.9999999999888889,0.9999999999999787,1.0,0.0,0.9999999999888889,0.9999999994888888,0.9989659624069889,0.0
