model,macro_f1,balanced_accuracy,macro_precision,macro_recall,precision_benign,recall_benign,f1_benign,support_benign,precision_credential_misuse,recall_credential_misuse,f1_credential_misuse,support_credential_misuse,precision_priv_esc,recall_priv_esc,f1_priv_esc,support_priv_esc,precision_lateral_movement,recall_lateral_movement,f1_lateral_movement,support_lateral_movement,precision_data_exfiltration,recall_data_exfiltration,f1_data_exfiltration,support_data_exfiltration,precision_defense_evasion,recall_defense_evasion,f1_defense_evasion,support_defense_evasion,precision_network_intrusion,recall_network_intrusion,f1_network_intrusion,support_network_intrusion,train_time_s,recall_present_benign,recall_present_credential_misuse,recall_present_priv_esc,recall_present_lateral_movement,recall_present_data_exfiltration
IsolationForest,0.3073170731707317,0.4,0.2733333333333333,0.4,1.0,1.0,1.0,46773,0.36666666666666664,1.0,0.5365853658536586,33,0.0,0.0,0.0,24,0.0,0.0,0.0,11,0.0,0.0,0.0,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.1007990837097168,0.9999999999999787,0.9999999999696971,0.0,0.0,0.0
Static_Rules,0.1670884616066328,0.2639654190548938,0.20000474804084073,0.2639654190548938,0.9985344260333792,0.7137664892138627,0.8324709813357937,46773,0.0014893141708243354,0.6060606060606061,0.0029713266973703757,33,0.0,0.0,0.0,24,0.0,0.0,0.0,11,0.0,0.0,0.0,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.7137664892138474,0.6060606060422407,0.0,0.0,0.0
LogisticRegression,0.14841583181313706,0.27600951792312195,0.20047617472496135,0.2760095179231219,0.9985297360876277,0.5808051653731854,0.7344246340177618,46773,0.002279981760145919,0.30303030303030304,0.004525910839556461,33,0.00037230081906180194,0.041666666666666664,0.0007380073800738007,24,0.0004106776180698152,0.09090909090909091,0.0008176614881439084,11,0.0007881773399014779,0.36363636363636365,0.0015729453401494297,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,23.358776330947876,0.5808051653731731,0.30303030302112033,0.04166666666493055,0.09090909090082644,0.3636363636198347
RandomForest,0.18791578947024162,0.22264014981448116,0.20036310424653014,0.22264014981448116,0.9980968182705446,0.8745643854360422,0.9322561163212052,46773,0.000964785335262904,0.06060606060606061,0.001899335232668566,33,0.0006657789613848203,0.041666666666666664,0.001310615989515072,24,0.0014727540500736377,0.09090909090909091,0.002898550724637681,11,0.0006153846153846154,0.045454545454545456,0.0012143290831815423,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.89395523071289,0.8745643854360236,0.06060606060422406,0.04166666666493055,0.09090909090082644,0.04545454545247934
MLP_Softmax,0.0013004911255025259,0.33333333333333337,0.0006515520232667948,0.33333333333333337,0.0,0.0,0.0,46773,0.0013638647620414902,0.5757575757575758,0.0027212832999140646,33,0.0008521516829995739,0.5,0.0017014036580178648,24,0.0003779289493575208,0.18181818181818182,0.0007542900245144258,11,0.0006638147219353887,0.4090909090909091,0.001325478645066274,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19.145485877990723,0.0,0.5757575757401286,0.49999999997916666,0.18181818180165288,0.40909090907231405
DEQZT,0.3073170731707317,0.4,0.2733333333333333,0.4,1.0,1.0,1.0,46773,0.36666666666666664,1.0,0.5365853658536586,33,0.0,0.0,0.0,24,0.0,0.0,0.0,11,0.0,0.0,0.0,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.9999999999999787,0.9999999999696971,0.0,0.0,0.0
