model,fpr,tpr,fp,tn,tp,fn,precision_attack,recall_attack,specificity,npv,f1_attack,accuracy,mcc,train_time_s
IsolationForest,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,1.1007990837097168
Static_Rules,0.2862335107861312,0.4555555555504938,13388,33385,41,49,0.0030530940501896603,0.4555555555504938,0.7137664892138474,0.9985344260333494,0.0060655373785920685,0.7132705972728867,0.016395186691905487,0.0
LogisticRegression,0.4191948346268057,0.5555555555493827,19607,27166,50,40,0.0025436231367959227,0.5555555555493827,0.5808051653731731,0.998529736087591,0.005064060354525257,0.580756673708457,0.012098100580584586,23.358776330947876
RandomForest,0.12543561456395516,0.13333333333185185,5867,40906,12,78,0.0020411634631736617,0.13333333333185185,0.8745643854360236,0.9980968182705203,0.00402077396929234,0.8731408573928073,0.0010439065706376472,10.89395523071289
MLP_Softmax,0.9999999999999787,0.9999999999888889,46773,0,90,0,0.0019204916458612996,0.9999999999888889,0.0,0.0,0.0038336208510710147,0.0019204916458612996,0.0,19.145485877990723
DEQZT,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,0.0
