model,fpr,tpr,fp,tn,tp,fn,precision_attack,recall_attack,specificity,npv,f1_attack,accuracy,mcc,train_time_s
IsolationForest,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,1.1007990837097168
Static_Rules,0.12945502747311208,0.11111111110987654,6055,40718,10,80,0.0016488046166526547,0.11111111110987654,0.8705449725268666,0.9980391195646602,0.003249390710418442,0.8690864861404335,-0.002392633009082105,0.0
LogisticRegression,0.41729202745172606,0.5555555555493827,19518,27255,50,40,0.0025551921504495833,0.5555555555493827,0.5827079725482526,0.9985345301336875,0.005086987476895611,0.5826558265582532,0.012274723934298041,23.358776330947876
RandomForest,0.05979945695165887,0.06666666666592592,2797,43976,6,84,0.002140563681768769,0.06666666666592592,0.9402005430483198,0.9980935088515435,0.004147943251155005,0.938522928536352,0.0012678427248433758,10.89395523071289
MLP_Softmax,0.9999999999999787,0.9999999999888889,46773,0,90,0,0.0019204916458612996,0.9999999999888889,0.0,0.0,0.0038336208510710147,0.0019204916458612996,0.0,19.145485877990723
DEQZT,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,0.0
