model,fpr,tpr,fp,tn,tp,fn,precision_attack,recall_attack,specificity,npv,f1_attack,accuracy,mcc,rzdu,rzdu_weighted_penalty,rzdu_max_penalty,rzdu_total_weight,train_time_s
IsolationForest,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,0.9989659624069889,49.5,47870.59999999997,47122.0,1.1007990837097168
Static_Rules,0.2862335107861312,0.4555555555504938,13388,33385,41,49,0.0030530940501896603,0.4555555555504938,0.7137664892138474,0.9985344260333494,0.0060655373785920685,0.7132705972728867,0.016395186691905487,0.7824802697271438,10412.800000000003,47870.59999999997,47122.0,0.0
LogisticRegression,0.4208838432428876,0.5555555555493827,19686,27087,50,40,0.0025334414268340833,0.5555555555493827,0.5791161567570912,0.9985254543443434,0.005043881762372996,0.5790709088193121,0.011941662642616818,0.5817265712149087,20022.999999999996,47870.59999999997,47122.0,23.358776330947876
RandomForest,0.12543561456395516,0.15555555555382716,5867,40906,14,76,0.0023805475259305593,0.15555555555382716,0.8745643854360236,0.9981455273046461,0.004689331740529851,0.8731835349849376,0.003980620913234032,0.891720596775476,5183.4000000000015,47870.59999999997,47122.0,10.89395523071289
MLP_Softmax,0.9999999999999787,0.9999999999888889,46773,0,90,0,0.0019204916458612996,0.9999999999888889,0.0,0.0,0.0038336208510710147,0.0019204916458612996,0.0,0.021894440429009565,46822.5,47870.59999999997,47122.0,19.145485877990723
DEQZT,0.0,0.9999999999888889,0,46773,90,0,0.9999999999888889,0.9999999999888889,0.9999999999999787,0.9999999999999787,0.9999999994888888,0.9999999999999787,1.0,0.9989659624069889,49.5,47870.59999999997,47122.0,0.0
